날짜,구분,부서,내용
2026-08-13,자율활동,학년부,개학식 및 학급자치활동
2026-08-19,자율활동,진로진학부,"동문 선배 생생 진로특강①,②"
2026-08-19,자율활동,학년부,학급자치활동③
2026-08-26,동아리활동,교육과정부,"동아리 부서별 활동①,②"
2026-09-09,동아리활동,교육과정부,동아리 부서별 활동③
2026-09-16,동아리활동,교육과정부,동아리 부서별 활동 
2026-09-23,동아리활동,인문사회/수리과학부,인문수리축전
2026-10-07,자율활동,학생부,성폭력 및 성희롱 예방 교육
2026-10-21,자율활동,학생/정보부,"개인 정보 보호 교육, 생활안전 및 교통안전 교육①, ③"
2026-10-28,자율활동,통합지원/예술체육부,"심폐소생술을 포함한 응급처치 교육, 장애 이해 교육"
2026-11-04,동아리활동,교육과정부,동아리 부서별 활동
2026-11-11,자율활동,학생/예술체육부,"생명 존중 교육, 마약류를 포함한 약물 오남용교육"
2026-11-18,자율/봉사활동,학생부,환경 보호 활동
2026-12-04,자율활동,3학년부,현장체험학습③
2026-12-09,자율활동,학생부,"재난 안전 교육, 학교 폭력 예방 교육"
2026-12-23,동아리활동,교육과정부,동아리 부서별 활동
2026-12-24,자율활동,학생부,반짝제
2026-01-05,자율/봉사활동,학생부,환경 보호 활동
2026-01-06,자율활동,교무부,"1,2학년 종업식, 3학년 종업식"
