날짜,구분,부서,내용
2026-08-13,일정,학사일정,"개학일
담임시간(1)(자)"
2026-08-17,일정,학사일정,광복절(대체휴일)
2026-08-19,일정,학사일정,"창체(자,자)"
2026-08-24,일정,학사일정,교직원연수의날
2026-08-26,일정,학사일정,"5,6교시(동,동)①,②
금(1,2)③"
2026-09-02,일정,학사일정,"대수능모의평가③
전국연합학력평가①,② 
5~7교시 목(5~7)"
2026-09-09,일정,학사일정," 5,6교시 금(1,2)①,②, (동,동)③"
2026-09-16,일정,학사일정,"창체(동,동)"
2026-09-23,일정,학사일정," 4교시수업
인문수리축전(1-4)(동4)"
2026-09-24~25,일정,학사일정,추석연휴
2026-09-28,일정,학사일정,교직원연수의날
2026-09-30,일정,학사일정,"5,6교시 금(3,4)"
2026-10-05,일정,학사일정,개천절(대체휴일)
2026-10-07,일정,학사일정,"창체(자,자)"
2026-10-09,일정,학사일정,한글날
2026-10-12~2026-10-15,일정,학사일정,1차 정기시험
2026-10-20,일정,학사일정,전국연합학력평가①②③
2026-10-21,일정,학사일정,"수능방송점검2차 
창체(자,자)①③"
2026-10-21~2026-10-23,일정,학사일정,수학여행②(자3) 
2026-10-23,일정,학사일정,현장체험학습①(자3)
2026-10-26,일정,학사일정,교직원연수의 날
2026-10-28,일정,학사일정,"수능방송점검3차
창체(자,자)"
2026-11-04,일정,학사일정,"창체(동,동)"
2026-11-09,일정,학사일정,교직원연수의날
2026-11-11,일정,학사일정,"창체(자,자)"
2026-11-18,일정,학사일정,"1~2교시(봉,봉)"
2026-11-19,일정,학사일정,대학수학능력시험(재량휴업일)
2026-11-20,일정,학사일정,(재량휴업일)
2026-11-23~2026-11-27,일정,학사일정,2차 정기시험③
2026-11-30,일정,학사일정,교직원연수의날
2026-12-02,일정,학사일정,"5,6교시 금(5,6)"
2026-12-04,일정,학사일정,현장체험학습③(자3)
2026-12-09,일정,학사일정,"창체(자,자)"
2026-12-10~2026-12-16,일정,학사일정,2차 정기시험①②
2026-12-23,일정,학사일정,"창체(동,동)"
2026-12-24,일정,학사일정,반짝제(5-7)(자3)
2026-12-25,일정,학사일정,성탄절
2026-12-28,일정,학사일정,"교직원연수의날
진급, 졸업사정회"
2026-12-30,일정,학사일정,4교시수업
2027-01-01,일정,학사일정,신정
2027-01-05,일정,학사일정,"종업식/졸업식
봉(1), 자(1)"
